name;origin;destination;length;oneway;harassmentRisk;geometry
Calle 10;(-75.5728593, 6.2115169);(-75.5724985, 6.2113756);42.867;True;0.5265393126661695;LINESTRING (-75.5728593 6.2115169, -75.57249849999999 6.2113756)
Calle 10;(-75.5705202, 6.2106275);(-75.570427, 6.2105879);11.204;True;0.4143561833185974;LINESTRING (-75.5705202 6.2106275, -75.570427 6.2105879)
Carrera 43A;(-75.5705202, 6.2106275);(-75.5705604, 6.2105262);12.109;True;0.5265393126661695;LINESTRING (-75.5705202 6.2106275, -75.57056040000001 6.2105262)
Carrera 41;(-75.5687719, 6.2099661);(-75.5688022, 6.2098867);9.443;True;0.3021730539710254;LINESTRING (-75.5687719 6.2099661, -75.56880219999999 6.2098867)
Calle 10;(-75.5687719, 6.2099661);(-75.568715, 6.2099443);6.741;True;0.3021730539710254;LINESTRING (-75.5687719 6.2099661, -75.568715 6.2099443)
Calle 10;(-75.5674348, 6.2094357);(-75.5673776, 6.2094125);6.829;True;0.3021730539710254;LINESTRING (-75.5674348 6.2094357, -75.5673776 6.2094125)
Calle 10;(-75.5666527, 6.2091202);(-75.566565, 6.2090881);10.331;True;0.3021730539710254;LINESTRING (-75.56665270000001 6.2091202, -75.566565 6.2090881)
Carrera 37;(-75.5666527, 6.2091202);(-75.5666155, 6.2091985);9.629;True;0.3021730539710254;LINESTRING (-75.56665270000001 6.2091202, -75.5666155 6.2091985)
Calle 10;(-75.5660756, 6.2089072);(-75.5659188, 6.2088496);18.479;True;0.3021730539710254;LINESTRING (-75.5660756 6.2089072, -75.56591880000001 6.2088496)
Carrera 36;(-75.5660756, 6.2089072);(-75.5661155, 6.2088293);9.72;True;0.3021730539710254;LINESTRING (-75.5660756 6.2089072, -75.5661155 6.2088293)
Carrera 39;(-75.5686884, 6.2063927);(-75.5687224, 6.2060586);37.34;False;0.3021730539710254;LINESTRING (-75.5686884 6.2063927, -75.5687224 6.2060586)
Calle 7;(-75.5686884, 6.2063927);(-75.5681218, 6.2063043);63.401;True;0.3021730539710254;LINESTRING (-75.5686884 6.2063927, -75.5682146 6.2063182, -75.5681218 6.2063043)
Carrera 39;(-75.5686884, 6.2063927);(-75.5685931, 6.2073652);108.671;False;0.3021730539710254;LINESTRING (-75.5686884 6.2063927, -75.5686326 6.2070557, -75.5685931 6.2073652)
Calle 7;(-75.5715105, 6.2063061);(-75.5686884, 6.2063927);334.387;True;0.3021730539710254;LINESTRING (-75.5715105 6.2063061, -75.57029350000001 6.2066019, -75.56981380000001 6.2067216, -75.56947270000001 6.2067943, -75.56929239999999 6.2068029, -75.5691637 6.2067602, -75.5690242 6.2066874, -75.56894819999999 6.2065988, -75.5688208 6.2064645, -75.56876250000001 6.2064217, -75.5686884 6.2063927)
Carrera 43A;(-75.5715105, 6.2063061);(-75.5713302, 6.2075797);143.264;True;0.3021730539710254;LINESTRING (-75.5715105 6.2063061, -75.5715105 6.2064358, -75.57149029999999 6.2065673, -75.57140990000001 6.2070879, -75.5713356 6.2074717, -75.57133020000001 6.2075797)
Carrera 43A;(-75.5710955, 6.2090783);(-75.5712631, 6.2086263);53.566;True;0.5265393126661695;LINESTRING (-75.5710955 6.2090783, -75.5712631 6.2086263)
Calle 7;(-75.5713302, 6.2083717);(-75.5728073, 6.2089065);173.78699999999998;True;0.5265393126661695;LINESTRING (-75.57133020000001 6.2083717, -75.5720702 6.2086298, -75.57280729999999 6.2089065)
Carrera 43A;(-75.5713302, 6.2083717);(-75.5714375, 6.2075904);87.69200000000001;True;0.5265393126661695;LINESTRING (-75.57133020000001 6.2083717, -75.571353 6.2082104, -75.5714066 6.207853, -75.57142810000001 6.2076611, -75.5714375 6.2075904)
Calle 7;(-75.5728073, 6.2089065);(-75.5742281, 6.2094339);167.651;True;0.5265393126661695;LINESTRING (-75.57280729999999 6.2089065, -75.5742281 6.2094339)
